,state,region,id,zip,city,latitude,longitude,type,url,domain,first.type,expense.percent,financial.rating,financial.rating.fye,accountability.rating,accountability.rating.fye,rating,fundraising.expense,admin.expense,contributions,revenue,rating.fye,overhead
1590,CA,california,org12748.htm,90404,Santa Monica,34.026959,-118.47432,International : Development and Relief Services,http://www.cambodianchildrensfund.org,cambodianchildrensfund.org,International ,0.057,0.9512,4,0.96,4,0.9553,5.7,18,5005511,5227180,4,23.7
1591,CA,california,org12750.htm,90010,Los Angeles,34.062709,-118.31481,Human and Civil Rights : Advocacy and Education,http://www.mhas-la.org,mhas-la.org,Human and Civil Rights ,0.031,0.7377,2,0.89,3,0.7988,3.1,7.1,714616,885880,2,10.2
1592,SC,south carolina,org12753.htm,29303,Spartanburg,34.980636,-81.95665,"Animals : Animal Rights, Welfare, and Services",http://www.spartanburghumane.org/,spartanburghumane.org,Animals ,0.106,0.702,2,0.82,3,0.7538,10.6,5.3,977710,1697927,2,15.9
1593,NY,new york,org12754.htm,12037,Chatham,42.346758,-73.57852,"Animals : Animal Rights, Welfare, and Services",http://www.equineadvocates.org,equineadvocates.org,Animals ,0.125,0.8386,3,0.93,4,0.8756,12.5,5.4,1005238,1214686,3,17.9
1594,CA,california,org12755.htm,90035,Los Angeles,34.05266,-118.38531,Community Development : Fundraising,http://www.concernfoundation.org,concernfoundation.org,Community Development ,0.1,0.8957,3,0.89,3,0.8928,10,3.5,1332621,1497687,3,13.5
1595,AL,alabama,org12756.htm,36104,Montgomery,32.377509,-86.31068,Human and Civil Rights : Advocacy and Education,http://www.eji.org,eji.org,Human and Civil Rights ,0.016,0.9916,4,1,4,0.994,1.6,6.6,2698925,2909608,4,8.2
1596,NY,new york,org12760.htm,10017,New York,40.752159,-73.97231,International : Development and Relief Services,http://www.wateraidamerica.org,wateraidamerica.org,International ,0.074,0.932,4,1,4,0.9519,7.4,10.4,7783786,7791403,4,17.8
1597,TX,texas,org12761.htm,77459,Missouri City,29.564347,-95.54762,"Health : Diseases, Disorders, and Disciplines",http://www.cancersurvivorsfund.org,cancersurvivorsfund.org,Health ,0.905,0,0,0.67,1,0.2553,90.5,2.3,1395693,1395693,0,92.8
1598,WA,washington,org12762.htm,98115,Seattle,47.68382,-122.30122,Human Services : Social Services,http://www.adwas.org/,adwas.org,Human Services ,0.127,0.733,2,0.86,3,0.7868,12.7,7.8,1220528,1281958,2,20.5
1599,VA,virginia,org12763.htm,22027,Dunn Loring,38.893921,-77.21976,Human Services : Children's and Family Services,http://www.thealternativehouse.org/,thealternativehouse.org,Human Services ,0.074,0.9347,4,1,4,0.9538,7.4,7.7,2521987,2533718,4,15.1
1600,CA,california,org12764.htm,94608,Emeryville,37.834724,-122.28316,"Arts, Culture, Humanities : Public Broadcasting and Media",http://centerforinvestigativereporting.org/,centerforinvestigativereporting.org,"Arts, Culture, Humanities ",0.024,0.9657,4,0.96,4,0.9627,2.4,6.8,11146211,11522944,4,9.2
1601,IL,illinois,org12765.htm,60613,Chicago,41.953256,-87.6629,Human and Civil Rights : Advocacy and Education,http://www.centeronhalsted.org,centeronhalsted.org,Human and Civil Rights ,0.065,0.9803,4,1,4,0.986,6.5,13,3576197,4392514,4,19.5
1602,CA,california,org12766.htm,95172,San Jose,37.189396,-121.705327,"Arts, Culture, Humanities : Performing Arts",http://www.cinequest.org,cinequest.org,"Arts, Culture, Humanities ",0.024,0.871,3,0.97,4,0.9063,2.4,12.5,833185,1169983,4,14.9
1603,NY,new york,org12768.htm,10452,Bronx,40.838745,-73.92234,Human Services : Social Services,http://www.highbridgelife.org/,highbridgelife.org,Human Services ,0.027,0.7094,2,0.89,3,0.7802,2.7,12.8,4446181,4531694,2,15.5
1604,CA,california,org12769.htm,94401,San Mateo,37.570385,-122.32044,"Arts, Culture, Humanities : Museums",http://www.CuriOdyssey.org,curiodyssey.org,"Arts, Culture, Humanities ",0.194,0.8776,3,1,4,0.9134,19.4,15.6,9187830,10303290,4,35
1605,CA,california,org12770.htm,95405,Santa Rosa,38.438161,-122.67419,Human Services : Children's and Family Services,http://aidforstarvingchildren.org/,aidforstarvingchildren.org,Human Services ,0.032,0.9207,4,0.62,1,0.7255,3.2,0.8,12270939,12271276,2,4
1606,NA,NA,org12771.htm,20004,Washington,38.895268,-77.0276,Environment : Environmental Protection and Conservation,http://climaterealityproject.org/,climaterealityproject.org,Environment ,0.068,0.7618,2,0.86,3,0.8046,6.8,6.3,7594753,7835997,3,13.1
1607,TN,tennessee,org12773.htm,37804,Maryville,35.781607,-83.93591,Community Development : Fundraising,http://www.liveunitedblount.org,liveunitedblount.org,Community Development ,0.076,0.9016,4,1,4,0.9304,7.6,4.2,1994053,2044152,4,11.8
1608,WA,washington,org12775.htm,98165,Seattle,47.61,-122.33,International : Development and Relief Services,http://www.teacherswithoutborders.com,teacherswithoutborders.com,International ,0.002,0.55,1,0.55,1,0.55,0.2,27.4,60415,60713,1,27.6
1609,GA,georgia,org12776.htm,30077,Roswell,33.844371,-84.47405,International : Development and Relief Services,http://heartforafrica.org,heartforafrica.org,International ,0.073,0.7333,2,0.96,4,0.8093,7.3,9.2,2238227,2407906,3,16.5
1610,AZ,arizona,org12777.htm,85635,Sierra Vista,31.562546,-110.24288,Human and Civil Rights : Advocacy and Education,http://americanborderpatrol.com/,americanborderpatrol.com,Human and Civil Rights ,0.239,0.7075,2,0.7,2,0.7037,23.9,15.7,1281518,1330449,2,39.6
1611,LA,louisiana,org12778.htm,70403,Hammond,30.484785,-90.4762,Human Services : Multipurpose Human Service Organizations,http://laso.org/,laso.org,Human Services ,0.387,0.5423,0,0.96,4,0.6751,38.7,10.2,1787552,1922047,1,48.9
1612,MI,michigan,org12781.htm,48375,Novi,42.462734,-83.45865,Human and Civil Rights : Advocacy and Education,http://www.michiganpva.org/,michiganpva.org,Human and Civil Rights ,0.363,0.5753,1,0.73,2,0.6441,36.3,13.2,621710,658308,1,49.5
1613,NJ,new jersey,org12782.htm,7009,Cedar Grove,40.855854,-74.22898,International : Foreign Charity Support Organizations,http://www.blessusa.org,blessusa.org,International ,0.022,0.7681,2,0.55,1,0.642,2.2,2,1106534,1106533,1,4.2
1614,NY,new york,org12783.htm,10018,New York,40.755101,-73.99337,Human Services : Social Services,http://thesff.org/,thesff.org,Human Services ,0.03,0.7965,2,0.51,0,0.6248,3,1.5,1946390,2105300,1,4.5
1615,TX,texas,org12784.htm,77004,Houston,29.728779,-95.3657,Religion : Religious Activities,http://www.nehemiahcenterhouston.org,nehemiahcenterhouston.org,Religion ,0.141,0.9255,4,0.93,4,0.9277,14.1,10.3,1361450,1481892,4,24.4
